time    Model_ERKCa-train4-C1000-inter1_Ca
0.0000 50.1333
0.0200 50.7819
0.0400 52.3384
0.0600 50.7819
0.0800 49.7442
0.1000 49.6794
0.1200 52.2736
0.1400 48.9011
0.1600 48.2525
0.1800 51.3656
0.2000 53.7653
0.2200 49.0957
0.2400 50.1333
0.2600 50.0685
0.2800 48.6417
0.3000 49.0957
0.3200 47.4094
0.3400 53.2464
0.3600 51.3656
0.3800 44.9449
0.4000 45.0098
0.4200 50.3279
0.4400 52.9870
0.4600 51.2359
0.4800 48.9011
0.5000 49.4848
0.5200 51.7547
0.5400 49.8091
0.5600 51.4305
0.5800 49.0957
0.6000 49.8091
0.6200 51.3656
0.6400 50.7819
0.6600 49.6145
0.6800 49.3551
0.7000 50.3928
0.7200 49.5496
0.7400 53.1816
0.7600 47.7985
0.7800 52.2087
0.8000 50.2631
0.8200 52.3384
0.8400 49.8091
0.8600 50.3279
0.8800 50.9116
0.9000 49.2902
0.9200 49.2254
0.9400 52.2736
0.9600 50.7819
0.9800 48.7714
1.0000 48.1228
1.0200 52.9870
1.0400 49.2254
1.0600 50.2631
1.0800 53.7004
1.1000 50.3928
1.1200 51.5602
1.1400 50.1982
1.1600 49.1605
1.1800 51.2359
1.2000 52.0142
1.2200 49.1605
1.2400 52.4681
1.2600 52.2087
1.2800 54.1544
1.3000 46.1772
1.3200 51.9493
1.3400 46.7609
1.3600 48.3822
1.3800 47.0851
1.4000 51.8196
1.4200 50.9765
1.4400 48.0580
1.4600 50.2631
1.4800 48.9011
1.5000 49.6794
1.5200 49.6145
1.5400 50.5225
1.5600 51.2359
1.5800 51.9493
1.6000 50.9116
1.6200 51.4953
1.6400 46.3069
1.6600 51.1710
1.6800 48.9659
1.7000 50.5225
1.7200 51.1062
1.7400 51.1710
1.7600 51.4305
1.7800 47.5391
1.8000 52.2736
1.8200 48.1228
1.8400 51.0413
1.8600 50.1982
1.8800 51.6250
1.9000 48.2525
1.9200 50.0685
1.9400 50.9116
1.9600 49.7442
1.9800 52.7276
2.0000 50.7819
2.0200 51.6250
2.0400 51.4305
2.0600 49.0308
2.0800 50.8468
2.1000 51.3007
2.1200 49.8091
2.1400 48.2525
2.1600 48.2525
2.1800 45.3340
2.2000 51.4305
2.2200 46.0474
2.2400 51.4953
2.2600 47.6688
2.2800 51.1710
2.3000 48.9011
2.3200 50.1982
2.3400 52.2087
2.3600 51.6899
2.3800 49.3551
2.4000 50.4576
2.4200 48.4471
2.4400 55.2569
2.4600 52.7924
2.4800 53.2464
2.5000 49.8739
2.5200 49.8091
2.5400 51.0413
2.5600 48.8362
2.5800 51.3656
2.6000 50.1982
2.6200 48.5120
2.6400 48.9011
2.6600 49.5496
2.6800 51.8844
2.7000 51.2359
2.7200 46.2420
2.7400 52.5330
2.7600 52.9221
2.7800 53.3761
2.8000 50.0685
2.8200 50.9765
2.8400 51.0413
2.8600 52.2736
2.8800 52.9221
2.9000 49.2902
2.9200 48.4471
2.9400 50.0685
