ppERK           cAMP           Ca
11146.3158 250.5903 7608.9411
11317.7810 30.0667 7387.2795
11879.7630 125.5488 7636.5375
12345.7934 -51.0265 6903.8791
15378.6293 139.8927 6820.9219
12801.0224 6866.9680 7897.5907
13452.7840 7089.8752 8386.6279
13656.1408 6777.4302 8094.7611
14100.7515 6860.5754 7958.2514
-11262.1110 6764.1499 -154905.5494
2092.8178 81.3485 2784.1989
1808.3246 166.1501 2584.5255
1575.9623 259.2697 2576.9889
1674.1428 -24.6065 2880.1532
1661.1198 288.7098 2699.4976
3723.3052 7020.9018 3752.0509
3551.0186 7056.9736 3672.1956
3899.3858 7033.4094 3059.5224
3701.9396 6883.6549 3630.8065
3994.9700 6850.4614 3259.1016
